property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
32697,-37.745586,144.99455,38 Stott Street,PRESTON, BOROONDARA ,20013,0.4918036234929939,33,1,12,3,2,1
95279,-37.916607,145.0448,24 Seaview Avenue,BENTLEIGH, HOBSONS BAY ,19939,0.6914098167014833,30,1,20,14,15,10
16874,-37.70276,144.9479,24 Hilton Street,HADFIELD, WYNDHAM ,19961,0.9933700999136873,30,1,99,43,33,20
59035,-37.822887,145.1857,53 Rooks Road,MITCHAM, PORT PHILLIP ,19900,0.7740603950156345,30,1,25,8,5,3
48585,-37.800274,145.03671,58 Eglinton Street,KEW, SOUTH GIPPSLAND ,19904,2.3592580579553784,12,1,2,0,0,0
58090,-37.82844,145.14986,4 Handel Court,BLACKBURN, GREATER GEELONG ,19898,0.9319235808024694,26,1,1,2,2,1
18515,-37.684895,144.93394,24 Cuthbert Street,BROADMEADOWS, WODONGA ,20030,1.2791440053980954,32,1,3,0,0,0
13470,-37.70291,144.75208,8 Brindalee Way,HILLSIDE, GREATER DANDENONG ,20000,1.9569923989092115,34,1,36,9,6,3
74475,-37.894154,145.06702,10 Innellan Road,MURRUMBEENA, MOIRA ,19919,0.4414134259138506,22,1,0,0,0,0
4533,-37.837666,144.8765,51a Oxford Street,NEWPORT, MANSFIELD ,20023,4.066292185276657,15,1,0,0,0,0
89558,-37.949375,145.00748,48 Abbott Street,SANDRINGHAM, PYRENEES ,19872,3.021049830717815,37,1,0,0,0,0
88732,-37.953564,145.03888,28 Middleton Street,HIGHETT, GREATER DANDENONG ,19872,0.6294477966428499,37,1,36,9,6,3
44509,-37.68738,145.10474,2 Beryl Close,GREENSBOROUGH, GLEN EIRA ,19985,1.8705273683751664,46,1,15,4,2,1
76246,-37.908688,145.09308,48 Bishop Street,OAKLEIGH, WANGARATTA ,19916,0.8557761033983717,28,1,0,0,0,0
